Club,Boat Type,Sub Category,Rank,Event
KINGSTON RC/ QUINTIN BC/ TIDEWAY SC SCH,4x,W.4x- Band 1,247,Fours Head 2018
MOLESEY BC 'C',4-,W.4- Band 2,249,Fours Head 2018
BRISTOL UNIV,4x,W.4x- Band 2,256,Fours Head 2018
W PERKIN'S SCH 'A',4x,W.J18.4x-,264,Fours Head 2018
LONDON UNIV 'A',4-,W.4- Band 1,265,Fours Head 2018
TIDEWAY SC SCH 'B',4x,W.4x- Band 2,266,Fours Head 2018
HENLEY RC 'B',4x,W.J18.4x-,268,Fours Head 2018
TIDEWAY SC SCH,4x,W.J18.4x-,272,Fours Head 2018
STAINES BC,4x,W.4x- Band 1,276,Fours Head 2018
LEA RC 'A',4+,W.4+ Band 1,277,Fours Head 2018
MORTLAKE AA 'D',4x,W.4x- Band 1,279,Fours Head 2018
HEADINGTON SCH 'A',4x,W.J18.4x-,280,Fours Head 2018
MOLESEY BC 'B',4x,W.4x- Band 2,282,Fours Head 2018
MAIDENHEAD RC,4x,W.J18.4x-,283,Fours Head 2018
BRISTOL CITY 'A',4-,W.4- Band 2,284,Fours Head 2018
IMPERIAL COLL 'B',4x,W.4x- Band 2,285,Fours Head 2018
LONDON UNIV 'B',4-,W.4- Band 1,287,Fours Head 2018
BATH UNIV,4x,W.U23.4x-,292,Fours Head 2018
HENLEY RC 'A',4+,W.J18.4+,293,Fours Head 2018
LONDON UNIV 'B',4+,W.4+ Band 1,295,Fours Head 2018
TYNE RC 'A',4x,W.4x- Band 1,298,Fours Head 2018
LATYMER UPPER,4x,W.J18.4x-,299,Fours Head 2018
OXFORD UWBC 'B',4+,W.4+ Band 1,303,Fours Head 2018
EXETER UNIV,4x,W.U23.4x-,304,Fours Head 2018
CAMBRIDGE CITY/ ST NEOTS RC,4x,W.4x- Band 2,306,Fours Head 2018
TIDEWAY SC SCH 'C',4x,W.4x- Band 2,307,Fours Head 2018
HEADINGTON SCH 'B',4x,W.J18.4x-,308,Fours Head 2018
TIDEWAY SC SCH,4+,W.4+ Band 1,310,Fours Head 2018
TYNE RC 'B',4x,W.4x- Band 2,312,Fours Head 2018
OXFORD CITY 'A',4+,W.4+ Band 1,313,Fours Head 2018
GT MARLOW SCH,4x,W.J18.4x-,314,Fours Head 2018
CURLEW RC,4-,W.4- Band 2,315,Fours Head 2018
AURIOL KEN 'A',4x,W.4x- Band 2,316,Fours Head 2018
LADY E HOLLES,4x,W.J18.4x-,319,Fours Head 2018
CAMBRIDGE UWBC 'D',4+,W.4+ Band 1,321,Fours Head 2018
STAINES BC,4-,W.4- Band 2,323,Fours Head 2018
SHREWSBURY SCH 'A',4x,W.J18.4x-,326,Fours Head 2018
KING'S ELY,4x,W.U23.4x-,328,Fours Head 2018
MORTLAKE AA/ TIDEWAY SC SCH,4-,W.4- Band 1,329,Fours Head 2018
MARLOW RC,4x,W.U23.4x-,330,Fours Head 2018
NEWCASTLE UNIV,4+,W.4+ Band 1,331,Fours Head 2018
HOLLINGWORTH LK,4x,W.4x- Band 1,332,Fours Head 2018
BRISTOL UNIV,4+,W.4+ Band 2,334,Fours Head 2018
MORTLAKE AA 'C',4x,W.4x- Band 2,335,Fours Head 2018
PUTNEY TOWN,4-,W.4- Band 2,336,Fours Head 2018
BEDFORD MOD SCH,4x,W.J18.4x-,337,Fours Head 2018
ARDINGLY COLLEGE,4x,W.J18.4x-,338,Fours Head 2018
HINKSEY SC SCH 'A',4x,W.J18.4x-,339,Fours Head 2018
WALTON RC,4x,W.J18.4x-,340,Fours Head 2018
HEADINGTON SCH,4+,W.4+ Band 1,342,Fours Head 2018
OXFORD CITY 'B',4x,W.J18.4x-,343,Fours Head 2018
THAMES RC 'A',4+,W.4+ Band 2,344,Fours Head 2018
LLANDAFF RC,4x,W.J18.4x-,345,Fours Head 2018
VESTA RC 'A',4+,W.4+ Band 2,346,Fours Head 2018
THAMES RC 'B',4+,W.4+ Band 2,347,Fours Head 2018
OXFORD CITY 'A',4x,W.J18.4x-,349,Fours Head 2018
ST GEORGE'S COL,4x,W.J18.4x-,350,Fours Head 2018
YORK CITY RC,4-,W.4- Band 2,352,Fours Head 2018
THAMES RC 'C',4-,W.4- Band 2,353,Fours Head 2018
BRISTOL CITY 'B',4-,W.4- Band 2,354,Fours Head 2018
W BORLASE SCH,4x,W.U23.4x-,355,Fours Head 2018
READING RC 'B',4x,W.4x- Band 2,356,Fours Head 2018
GODOLPHIN LAT 'A',4+,W.J18.4+,357,Fours Head 2018
EMANUEL SCH,4x,W.J18.4x-,358,Fours Head 2018
HENLEY RC 'B',4+,W.J18.4+,359,Fours Head 2018
GRANTA BC,4x,W.4x- Band 2,360,Fours Head 2018
LADY E HOLLES,4+,W.J18.4+,361,Fours Head 2018
HEADINGTON SCH 'C',4x,W.J18.4x-,362,Fours Head 2018
BEWL BRIDGE,4x,W.J18.4x-,363,Fours Head 2018
SHREWSBURY SCH 'B',4x,W.J18.4x-,364,Fours Head 2018
DURHAM ARC,4x,W.4x- Band 1,366,Fours Head 2018
BRADFORD ARC,4x,W.4x- Band 1,367,Fours Head 2018
OXFORD ULWRC 'C',4+,W.4+ Band 3,368,Fours Head 2018
EXETER UNIV,4-,W.4- Band 2,369,Fours Head 2018
W BORLASE SCH,4+,W.J18.4+,370,Fours Head 2018
SURREY UNIV 'B',4+,W.4+ Band 3,371,Fours Head 2018
ROB ROY BC,4x,W.J18.4x-,372,Fours Head 2018
NOTTINGHAM RC,4+,W.4+ Band 3,373,Fours Head 2018
LATYMER UPPER,4+,W.J18.4+,374,Fours Head 2018
BATH UNIV,4+,W.4+ Band 3,376,Fours Head 2018
VESTA RC 'B',4x,W.4x- Band 2,377,Fours Head 2018
AURIOL KEN 'B',4x,W.4x- Band 2,378,Fours Head 2018
PUTNEY HIGH SCH,4x,W.J18.4x-,379,Fours Head 2018
CANFORD SCH,4x,W.J18.4x-,380,Fours Head 2018
READING RC 'A',4x,W.4x- Band 2,381,Fours Head 2018
A B SEVERN RC,4x,W.J18.4x-,382,Fours Head 2018
MARLOW RC,4+,W.J18.4+,383,Fours Head 2018
TIDEWAY SC SCH,4+,W.J18.4+,384,Fours Head 2018
LEA RC 'B',4+,W.4+ Band 2,385,Fours Head 2018
OXFORD CITY,4x,W.4x- Band 2,386,Fours Head 2018
CANTAGBRIGIAN RC,4x,W.J18.4x-,387,Fours Head 2018
SHOREHAM RC,4x,W.J18.4x-,388,Fours Head 2018
EXETER UNIV,4+,W.4+ Band 3,389,Fours Head 2018
PUTNEY HIGH SCH 'A',4+,W.J18.4+,390,Fours Head 2018
PETERBOROUGH,4x,W.J18.4x-,391,Fours Head 2018
WARWICK BC 'C',4+,W.4+ Band 1,392,Fours Head 2018
BRISTOL CITY,4+,W.4+ Band 3,393,Fours Head 2018
CAMBRIDGE 99 'A',4+,W.4+ Band 1,394,Fours Head 2018
VESTA RC 'B',4+,W.4+ Band 3,396,Fours Head 2018
CARDIFF UNIV,4-,W.4- Band 2,397,Fours Head 2018
MAIDSTONE INV,4x,W.J18.4x-,398,Fours Head 2018
HEADINGTON SCH,4+,W.J18.4+,399,Fours Head 2018
MOLESEY BC,4+,W.4+ Band 1,401,Fours Head 2018
W PERKIN'S SCH,4+,W.J18.4+,402,Fours Head 2018
BRADFORD ARC/ GLOUCESTER RC/ KEBLE COLL/ TRENTHAM BC,4+,W.4+ Band 3,403,Fours Head 2018
ST PAUL'S GIRLS 'A',4+,W.J18.4+,404,Fours Head 2018
BARNES BR LRC,4x,W.4x- Band 2,405,Fours Head 2018
KING'S COLL LON,4+,W.4+ Band 3,406,Fours Head 2018
PUTNEY TOWN,4+,W.4+ Band 2,407,Fours Head 2018
HINKSEY SC SCH,4+,W.J18.4+,408,Fours Head 2018
PUTNEY HIGH SCH 'B',4+,W.J18.4+,409,Fours Head 2018
W BORLASE SCH,4x,W.J18.4x-,410,Fours Head 2018
OXFORD ULWRC 'B',4+,W.4+ Band 2,411,Fours Head 2018
OXFORD CITY 'B',4+,W.4+ Band 2,412,Fours Head 2018
SURREY UNIV 'A',4+,W.4+ Band 3,413,Fours Head 2018
SHOREHAM RC,4+,W.4+ Band 2,414,Fours Head 2018
CURLEW RC/ GLOBE RC,4x,W.4x- Band 2,415,Fours Head 2018
CAMBRIDGE 99 'B',4+,W.4+ Band 2,416,Fours Head 2018
MAIDSTONE INV,4+,W.J18.4+,417,Fours Head 2018
WARWICK UNIV,4+,W.4+ Band 3,418,Fours Head 2018
WOLFSON OXF,4+,W.4+ Band 2,419,Fours Head 2018
MORTLAKE AA,4+,W.4+ Band 2,420,Fours Head 2018
ST PAUL'S GIRLS 'B',4+,W.J18.4+,421,Fours Head 2018
HINKSEY SC SCH 'B',4x,W.J18.4x-,422,Fours Head 2018
MAIDENHEAD RC,4+,W.J18.4+,423,Fours Head 2018
GODOLPHIN LAT 'B',4+,W.J18.4+,424,Fours Head 2018
LEA RC 'D',4+,W.4+ Band 2,425,Fours Head 2018
FURNIVALL SC 'B',4+,W.4+ Band 2,426,Fours Head 2018
LEA RC 'C',4+,W.4+ Band 2,427,Fours Head 2018
ST GEORGE'S COL,4+,W.J18.4+,428,Fours Head 2018
MAIDSTONE INV,4+,W.4+ Band 3,429,Fours Head 2018
DURHAM ARC,4+,W.4+ Band 3,430,Fours Head 2018
ITCHEN IMPERIAL,4+,W.4+ Band 3,431,Fours Head 2018
STAINES BC,4+,W.4+ Band 2,432,Fours Head 2018
CAMBRIDGE CITY,4+,W.4+ Band 3,433,Fours Head 2018
NORWICH HS,4+,W.J18.4+,434,Fours Head 2018
PUTNEY HIGH SCH,4x,W.J18.4x-,435,Fours Head 2018
ITCHEN IMPERIAL,4x,W.J18.4x-,436,Fours Head 2018
KING'S ELY/ ROB ROY BC,4x,W.J18.4x-,437,Fours Head 2018
CHRIST CHURCH 'A',4+,W.4+ Band 3,438,Fours Head 2018
CHRIST CHURCH 'B',4+,W.4+ Band 3,439,Fours Head 2018
BARN ELMS RC,4+,W.J18.4+,440,Fours Head 2018
VESTA RC 'A',4x,W.4x- Band 2,441,Fours Head 2018
THAMES RC,1x,W (Elite),94,Scullers Head 2018
WALLINGFORD ROWING CLUB,1x,W (Fresher),143,Scullers Head 2018
THAMES RC,1x,W (Elite),144,Scullers Head 2018
AGECROFT ROWING CLUB,1x,W Sch/Jun,146,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W Lwt (Elite),151,Scullers Head 2018
THAMES RC,1x,W Lwt (Senior),167,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W U23,169,Scullers Head 2018
THAMES TRADESMEN,1x,W Sch/Jun,173,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W MasA,176,Scullers Head 2018
CANTABRIGIAN ROWING CLUB,1x,W Lwt (Senior),180,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W Lwt (Club),187,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W J16,203,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W (Elite),207,Scullers Head 2018
ST PAULS GIRLS SCHOOL,1x,W Sch/Jun,214,Scullers Head 2018
BRISTOL UNIVERSITY OF BOAT CLUB,1x,W Lwt (Club),217,Scullers Head 2018
IMPERIAL COLLEGE,1x,W U23,218,Scullers Head 2018
PUTNEY HIGH SCHOOL,1x,W J17,220,Scullers Head 2018
WALLINGFORD ROWING CLUB,1x,W U23,222,Scullers Head 2018
FULHAM REACH RC,1x,W Sch/Jun,225,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W MasA,228,Scullers Head 2018
PETERBOROUGH CITY ROWING CLUB,1x,W Lwt (Elite),229,Scullers Head 2018
VESTA ROWING CLUB,1x,W (Club),232,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W Lwt (Elite),234,Scullers Head 2018
LEA ROWING CLUB,1x,W MasB,241,Scullers Head 2018
IMPERIAL COLLEGE,1x,W U23,242,Scullers Head 2018
VESTA ROWING CLUB,1x,W (Club),250,Scullers Head 2018
THAMES RC,1x,W MasB,251,Scullers Head 2018
BRISTOL CITY OF ROWING CLUB,1x,W MasC,254,Scullers Head 2018
ARDINGLY ROWING CLUB,1x,W Sch/Jun,258,Scullers Head 2018
WADHAM COLLEGE BOAT CLUB,1x,W (Elite),264,Scullers Head 2018
MORTLAKE AABC,1x,W MasC,267,Scullers Head 2018
SUDBURY ROWING CLUB,1x,W (Senior),272,Scullers Head 2018
ST PAULS GIRLS SCHOOL,1x,W J16,276,Scullers Head 2018
LEA ROWING CLUB,1x,W (Elite),279,Scullers Head 2018
PUTNEY TOWN RC,1x,W (Club),284,Scullers Head 2018
STAR CLUB,1x,W MasC,285,Scullers Head 2018
POPLAR BLACKWALL & DISTRICT,1x,W Sch/Jun,286,Scullers Head 2018
FULHAM REACH RC,1x,W Lwt (Club),287,Scullers Head 2018
FULHAM REACH RC,1x,W Sch/Jun,291,Scullers Head 2018
MORTLAKE AABC,1x,W (Senior),294,Scullers Head 2018
THAMES RC,1x,W Sch/Jun,295,Scullers Head 2018
VESTA ROWING CLUB,1x,W (Club),296,Scullers Head 2018
WALBROOK ROWING CLUB,1x,W (Senior),297,Scullers Head 2018
TYNE AMATEUR ROWING CLUB,1x,W (Senior),299,Scullers Head 2018
WALTON ROWING CLUB,1x,W J17,301,Scullers Head 2018
PUTNEY HIGH SCHOOL,1x,W J16,302,Scullers Head 2018
ETON EXCELSIOR ROWING CLUB,1x,W J17,303,Scullers Head 2018
MARLOW ROWING CLUB,1x,W MasD,304,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W J17,306,Scullers Head 2018
VESTA ROWING CLUB,1x,W (Club),309,Scullers Head 2018
VESTA ROWING CLUB,1x,W (Senior),312,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W J16,314,Scullers Head 2018
PUTNEY HIGH SCHOOL,1x,W Sch/Jun,317,Scullers Head 2018
PUTNEY HIGH SCHOOL,1x,W J17,319,Scullers Head 2018
BEWL BRIDGE ROWING CLUB,1x,W MasE,320,Scullers Head 2018
AURIOL KENSINGTON,1x,W (Club),321,Scullers Head 2018
MORTLAKE AABC,1x,W (Club),323,Scullers Head 2018
BARNES BRIDGE LADIES ROWING CLUB,1x,W MasB,324,Scullers Head 2018
MORTLAKE AABC,1x,W Lwt (Senior),329,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W MasD,330,Scullers Head 2018
WALTON ROWING CLUB,1x,W MasB,332,Scullers Head 2018
YORK CITY ROWING CLUB,1x,W MasD,333,Scullers Head 2018
MORTLAKE AABC,1x,W MasE,334,Scullers Head 2018
CANTABRIGIAN ROWING CLUB,1x,W (Club),335,Scullers Head 2018
IMPERIAL COLLEGE,1x,W Lwt (Senior),336,Scullers Head 2018
ABINGDON ROWING CLUB,1x,W MasB,337,Scullers Head 2018
YORK CITY ROWING CLUB,1x,W MasA,338,Scullers Head 2018
PUTNEY TOWN RC,1x,W MasB,349,Scullers Head 2018
PUTNEY TOWN RC,1x,W (Club),350,Scullers Head 2018
EXETER ROWING CLUB LTD,1x,W MasB,351,Scullers Head 2018
LEA ROWING CLUB,1x,W MasD,353,Scullers Head 2018
MORTLAKE AABC,1x,W MasC,354,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W J16,355,Scullers Head 2018
ABINGDON ROWING CLUB,1x,W MasA,357,Scullers Head 2018
BROXBOURNE ROWING CLUB,1x,W Sch/Jun,358,Scullers Head 2018
PUTNEY HIGH SCHOOL,1x,W J16,360,Scullers Head 2018
ABINGDON ROWING CLUB,1x,W MasD,362,Scullers Head 2018
ST PAULS GIRLS SCHOOL,1x,W Sch/Jun,364,Scullers Head 2018
PUTNEY TOWN RC,1x,W MasA,365,Scullers Head 2018
PUTNEY HIGH SCHOOL,1x,W (Club),366,Scullers Head 2018
READING ROWING CLUB,1x,W MasB,367,Scullers Head 2018
IPSWICH ROWING CLUB,1x,W (Senior),368,Scullers Head 2018
SUDBURY ROWING CLUB,1x,W J17,369,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W MasB,370,Scullers Head 2018
WALTON ROWING CLUB,1x,W J17,371,Scullers Head 2018
AURIOL KENSINGTON,1x,W MasC,376,Scullers Head 2018
EXETER ROWING CLUB LTD,1x,W MasE,377,Scullers Head 2018
PUTNEY TOWN RC,1x,W Lwt (Club),378,Scullers Head 2018
WALLINGFORD ROWING CLUB,1x,W (Club),380,Scullers Head 2018
ARDINGLY COLLEGE BOAT CLUB,1x,W J16,381,Scullers Head 2018
CARDIFF CITY ROWING CLUB,1x,W MasB,383,Scullers Head 2018
CHAMPION OF THE THAMES (CAMBRIDGE),1x,W MasE,386,Scullers Head 2018
MAIDSTONE INVICTA ROWING CLUB,1x,W J17,388,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W Sch/Jun,390,Scullers Head 2018
MARLOW ROWING CLUB,1x,W (Senior),394,Scullers Head 2018
VESTA ROWING CLUB,1x,W (Senior),397,Scullers Head 2018
MORTLAKE AABC,1x,W MasE,399,Scullers Head 2018
EXETER ROWING CLUB LTD,1x,W (Senior),401,Scullers Head 2018
PUTNEY HIGH SCHOOL,1x,W (Club),404,Scullers Head 2018
MORTLAKE AABC,1x,W MasC,405,Scullers Head 2018
WALTON ROWING CLUB,1x,W MasC,406,Scullers Head 2018
MAIDSTONE INVICTA ROWING CLUB,1x,W J16,409,Scullers Head 2018
ST PAULS GIRLS SCHOOL,1x,W J16,410,Scullers Head 2018
ESSEX UNIVERSITY OF ROWING CLUB,1x,W Lwt (Senior),411,Scullers Head 2018
ETON EXCELSIOR ROWING CLUB,1x,W MasD,412,Scullers Head 2018
TEAM KEANE SCULLING SCHOOL,1x,W MasB,415,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W MasE,417,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W MasE,419,Scullers Head 2018
HSBC,1x,W MasC,420,Scullers Head 2018
WEYBRIDGE ROWING CLUB,1x,W MasA,421,Scullers Head 2018
TWICKENHAM RC,1x,W MasD,422,Scullers Head 2018
MORTLAKE AABC,1x,W (Fresher),424,Scullers Head 2018
MARLOW ROWING CLUB,1x,W MasD,425,Scullers Head 2018
TAUNTON ROWING CLUB,1x,W Lwt (Senior),426,Scullers Head 2018
WALLINGFORD ROWING CLUB,1x,W MasC,427,Scullers Head 2018
PUTNEY HIGH SCHOOL,1x,W (Club),428,Scullers Head 2018
MAIDSTONE INVICTA ROWING CLUB,1x,W J17,430,Scullers Head 2018
HENLEY ROWING CLUB,1x,W MasE,432,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W MasB,433,Scullers Head 2018
GREEN TEMPLETON BOAT CLUB,1x,W (Fresher),435,Scullers Head 2018
WALTON ROWING CLUB,1x,W MasD,436,Scullers Head 2018
GLOBE ROWING CLUB,1x,W MasE,437,Scullers Head 2018
NORWICH ROWING CLUB,1x,W MasE,438,Scullers Head 2018
TWICKENHAM RC,1x,W MasFG,440,Scullers Head 2018
ETON EXCELSIOR ROWING CLUB,1x,W Mas (Fresher),442,Scullers Head 2018
ETON EXCELSIOR ROWING CLUB,1x,W MasFG,443,Scullers Head 2018
AURIOL KENSINGTON,1x,W Mas (Fresher),444,Scullers Head 2018
PUTNEY HIGH SCHOOL,1x,W J16,445,Scullers Head 2018
PUTNEY TOWN RC,1x,W MasE,446,Scullers Head 2018
AURIOL KENSINGTON,1x,W (Club),448,Scullers Head 2018
PUTNEY TOWN RC,1x,W MasFG,449,Scullers Head 2018
LEA ROWING CLUB,1x,W MasE,450,Scullers Head 2018
VESTA ROWING CLUB,1x,W Mas (Fresher),451,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,W MasFG,452,Scullers Head 2018
BROXBOURNE ROWING CLUB,1x,W MasE,453,Scullers Head 2018
WALBROOK ROWING CLUB,1x,W MasFG,454,Scullers Head 2018
TEAM KEANE SCULLING SCHOOL,1x,W Mas (Fresher),455,Scullers Head 2018
MAIDSTONE INVICTA ROWING CLUB,1x,W Sch/Jun,456,Scullers Head 2018
LONDON UNIVERSITY OF BOAT CLUB,2x,W 2x Champ,63,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2x,W 2x Champ,81,Pairs Head 2018
THAMES ROWING CLUB,2x,W 2x Champ,95,Pairs Head 2018
THAMES ROWING CLUB,2x,W 2x Champ,110,Pairs Head 2018
HENLEY ROWING CLUB,2x,W 2x Champ,142,Pairs Head 2018
NOTTINGHAM ROWING CLUB,2x,W 2x Champ,143,Pairs Head 2018
YORK CITY ROWING CLUB,2x,W 2x Champ,147,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2x,W 2x,150,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2x,W 2x Champ,168,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2-,W 2- Champ,180,Pairs Head 2018
MORTLAKE ANGLIAN & ALPHA BOAT CLUB,2x,W 2x Champ,181,Pairs Head 2018
UPPER THAMES ROWING CLUB,2x,W 2x Champ,193,Pairs Head 2018
LADY ELEANOR HOLLES BOAT CLUB,2-,W 2- Champ,195,Pairs Head 2018
LEA ROWING CLUB,2x,W 2x Inter,199,Pairs Head 2018
PETERBOROUGH CITY ROWING CLUB,2x,W 2x,200,Pairs Head 2018
POPLAR BLACKWALL & DISTRICT ROWING CLUB,2x,W 2x Champ,202,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2x,W 2x Champ,208,Pairs Head 2018
IMPERIAL COLLEGE BOAT CLUB,2x,W 2x Fresher,210,Pairs Head 2018
GLOBE ROWING CLUB,2x,W 2x Champ,211,Pairs Head 2018
VESTA ROWING CLUB,2x,W 2x,213,Pairs Head 2018
IMPERIAL COLLEGE BOAT CLUB,2-,W 2- Champ,214,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2-,W 2- Champ,218,Pairs Head 2018
THAMES ROWING CLUB,2-,W 2- Champ,217,Pairs Head 2018
IPSWICH ROWING CLUB,2x,W 2x Club,221,Pairs Head 2018
MORTLAKE ANGLIAN & ALPHA BOAT CLUB,2x,W 2x Inter,223,Pairs Head 2018
CANTABRIGIAN ROWING CLUB,2x,W 2x Inter,225,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2x,W 2x Inter,227,Pairs Head 2018
VESTA ROWING CLUB,2x,W 2x Fresher,240,Pairs Head 2018
IMPERIAL COLLEGE BOAT CLUB,2x,W 2x Inter,239,Pairs Head 2018
IMPERIAL COLLEGE BOAT CLUB,2-,W 2- Champ,241,Pairs Head 2018
VESTA ROWING CLUB,2-,W 2- Champ,244,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2x,W 2x Inter,250,Pairs Head 2018
NOTTINGHAM ROWING CLUB,2x,W 2x Champ,251,Pairs Head 2018
UPPER THAMES ROWING CLUB,2x,W 2x Inter,253,Pairs Head 2018
HENLEY ROWING CLUB,2x,W 2x Inter,257,Pairs Head 2018
CITY OF OXFORD ROWING CLUB,2x,W 2x Inter,261,Pairs Head 2018
STAR CLUB,2x,W 2x Club,265,Pairs Head 2018
KINGS SCHOOL ELY THE BOAT CLUB,2x,W 2x Champ,266,Pairs Head 2018
MAIDENHEAD ROWING CLUB,2x,W 2x Inter,268,Pairs Head 2018
MORTLAKE ANGLIAN & ALPHA BOAT CLUB,2x,W 2x Inter,270,Pairs Head 2018
ROSS ROWING CLUB,2x,W 2x Inter,272,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2x,W 2x Inter,273,Pairs Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,2x,W 2x Club,277,Pairs Head 2018
LEA ROWING CLUB,2x,W 2x Inter,278,Pairs Head 2018
CANTABRIGIAN ROWING CLUB,2-,W 2- Inter,281,Pairs Head 2018
LEA ROWING CLUB,2-,W 2- Champ,282,Pairs Head 2018
PUTNEY HIGH SCHOOL ROWING CLUB,2x,W 2x Club,283,Pairs Head 2018
MORTLAKE ANGLIAN & ALPHA BOAT CLUB,2x,W 2x Club,284,Pairs Head 2018
BARNES BRIDGE LADIES ROWING CLUB,2x,W 2x Fresher,285,Pairs Head 2018
UPPER THAMES ROWING CLUB,2x,W 2x Champ,287,Pairs Head 2018
MORTLAKE ANGLIAN & ALPHA BOAT CLUB,2x,W 2x Club,290,Pairs Head 2018
MORTLAKE ANGLIAN & ALPHA BOAT CLUB,2x,W 2x Inter,291,Pairs Head 2018
MILTON KEYNES ROWING CLUB,2x,W 2x Inter,292,Pairs Head 2018
BEDFORD ROWING CLUB,2x,W 2x Inter,293,Pairs Head 2018
TIDEWAY SCULLERS SCHOOL,2-,W 2- Champ,294,Pairs Head 2018
MAIDENHEAD ROWING CLUB,2x,W 2x Champ,297,Pairs Head 2018
CHAMPION OF THE THAMES (CAMBRIDGE) RC,2x,W 2x Club,300,Pairs Head 2018
THAMES ROWING CLUB,2x,W 2x Club,301,Pairs Head 2018
EMANUEL SCHOOL BOAT CLUB,2x,W 2x Club,302,Pairs Head 2018
AMERICAN SCHOOL IN LONDON BOAT CLUB,2x,W 2x Champ,303,Pairs Head 2018
EMANUEL SCHOOL BOAT CLUB,2x,W 2x Club,304,Pairs Head 2018
