Club,Boat Type,Sub Category,Rank,Event
HULL UNIVERSITY A,8+,A,195,HORR 2018
ST AIDANS COLLEGE DURHAM,8+,A,196,HORR 2018
UNIVERSITY OF SURREY B,8+,A,197,HORR 2018
IMPERIAL COLLEGE SCHOOL OF MEDICINE,8+,A,198,HORR 2018
ST JOHNS COLLEGE DURHAM A,8+,A,199,HORR 2018
JESUS COLLEGE CAMBRIDGE A,8+,A,200,HORR 2018
NOTTINGHAM UNIVERSITY C,8+,A,201,HORR 2018
KINGS COLLEGE CAMBRIDGE,8+,A,202,HORR 2018
GREY COLLEGE DURHAM,8+,A,203,HORR 2018
TRAFFORD A,8+,C,204,HORR 2018
BOURNEMOUTH UNIVERSITY A,8+,A,205,HORR 2018
FIRST AND THIRD TRINITY CAMBRIDGE B,8+,A,206,HORR 2018
SHEFFIELD HALLAM UNIVERSITY,8+,A,207,HORR 2018
LIVERPOOL JOHN MOORES UNIVERSITY,8+,A,208,HORR 2018
PETERBOROUGH CITY,8+,C,209,HORR 2018
HERTFORD COLLEGE OXFORD,8+,A,210,HORR 2018
SOUTHAMPTON UNIVERSITY B,8+,A,211,HORR 2018
QUEENS' COLLEGE CAMBRIDGE,8+,A,212,HORR 2018
COLLINGWOOD COLLEGE DURHAM B,8+,A,213,HORR 2018
WORCESTER B,8+,C,214,HORR 2018
QUINTIN A,8+,C,215,HORR 2018
LEEDS B,8+,C,216,HORR 2018
UNIVERSITY COLLEGE OXFORD,8+,A,217,HORR 2018
VESTA C,8+,C,218,HORR 2018
BRASENOSE COLLEGE OXFORD,8+,A,219,HORR 2018
VESTA B,8+,C,220,HORR 2018
PETERHOUSE CAMBRIDGE,8+,A,221,HORR 2018
LEICESTER,8+,C,222,HORR 2018
EXETER B,8+,C,223,HORR 2018
WARWICK UNIVERSITY C,8+,A,224,HORR 2018
SALFORD UNIVERSITY,8+,A,225,HORR 2018
ETON EXCELSIOR,8+,C,226,HORR 2018
SIDNEY SUSSEX COLLEGE CAMBRIDGE,8+,A,227,HORR 2018
WORCESTER UNIVERSITY,8+,A,228,HORR 2018
MARLOW B,8+,C,229,HORR 2018
GLASGOW UNIVERSITY C,8+,A,230,HORR 2018
SHEFFIELD UNIVERSITY B,8+,A,231,HORR 2018
KINGS COLLEGE LONDON B,8+,A,232,HORR 2018
CAMBRIDGE 99 A,8+,C,233,HORR 2018
MAIDSTONE INVICTA C,8+,C,234,HORR 2018
CANTABRIGIAN B,8+,C,235,HORR 2018
HULL UNIVERSITY B,8+,A,236,HORR 2018
CHAMPION OF THE THAMES (CAMBRIDGE),8+,C,237,HORR 2018
CYGNET,8+,C,238,HORR 2018
GLOUCESTER,8+,C,239,HORR 2018
TRINITY HALL CAMBRIDGE B,8+,A,240,HORR 2018
PUTNEY TOWN B,8+,C,241,HORR 2018
ROYAL NAVY & ROYAL MARINES B,8+,C,242,HORR 2018
AURIOL KENSINGTON B,8+,C,243,HORR 2018
NOTTINGHAM AND UNION,8+,C,244,HORR 2018
UNIVERSITY OF BRISTOL D,8+,A,245,HORR 2018
CARDIFF UNIVERSITY B,8+,A,246,HORR 2018
UPPSALA ACADEMIC RS (SWEDEN),8+,-,247,HORR 2018
BATH UNIVERSITY C,8+,A,248,HORR 2018
OXFORD ACADEMICALS,8+,C,249,HORR 2018
TRAFFORD B,8+,C,250,HORR 2018
CHESTER UNIVERSITY,8+,A,251,HORR 2018
ROYAL FREE & UNIV COLL MEDICAL SCHOOL B,8+,A,252,HORR 2018
EAST INDIA CLUB,8+,C,253,HORR 2018
CITY OF CAMBRIDGE B,8+,C,254,HORR 2018
TWICKENHAM B,8+,C,255,HORR 2018
LEEDS UNIVERSITY B,8+,A,256,HORR 2018
DEVIL'S ELBOW,8+,C,257,HORR 2018
WARWICK UNIVERSITY D,8+,A,258,HORR 2018
IMPERIAL COLLEGE E,8+,A,259,HORR 2018
EMMANUEL CAMBRIDGE B,8+,A,260,HORR 2018
CITY OF SWANSEA,8+,C,261,HORR 2018
HUNTINGDON,8+,C,262,HORR 2018
BROXBOURNE B,8+,C,263,HORR 2018
UNIVERSITY OF EAST ANGLIA B,8+,A,264,HORR 2018
BENTHAM,8+,C,265,HORR 2018
GLOBE,8+,C,266,HORR 2018
ROBERT GORDON UNIVERSITY,8+,A,267,HORR 2018
UNIVERSITY COLLEGE LONDON B,8+,A,268,HORR 2018
STRATHCLYDE UNIVERSITY B,8+,A,269,HORR 2018
LIVERPOOL UNIVERSITY B,8+,A,270,HORR 2018
ROYAL AIR FORCE B,8+,C,271,HORR 2018
CURLEW C,8+,C,272,HORR 2018
BIRMINGHAM UNIVERSITY B,8+,A,273,HORR 2018
SOUTHAMPTON UNIVERSITY C,8+,A,274,HORR 2018
THE UNIVERSITY OF MANCHESTER B,8+,A,275,HORR 2018
EXETER UNIVERSITY C,8+,A,276,HORR 2018
BOURNEMOUTH UNIVERSITY B,8+,A,277,HORR 2018
ST GEORGES HOSPITAL MEDICAL SCHOOL B,8+,A,278,HORR 2018
LEICESTER UNIVERSITY C,8+,A,279,HORR 2018
BOURNEMOUTH UNIVERSITY C,8+,A,280,HORR 2018
VESTA E,8+,C,281,HORR 2018
SONS OF THE THAMES,8+,C,282,HORR 2018
ROYAL VETERINARY COLLEGE,8+,A,283,HORR 2018
LEICESTER UNIVERSITY B,8+,A,284,HORR 2018
UNIVERSITY COLLEGE LONDON C,8+,A,285,HORR 2018
ST BARTHOLOMEW'S & THE ROYAL LONDON HOSPITALS B,8+,A,286,HORR 2018
BRIDGNORTH B,8+,C,287,HORR 2018
PUTNEY TOWN C,8+,C,288,HORR 2018
LONDON OTTERS A,8+,C,289,HORR 2018
CITY OF BRISTOL C,8+,C,290,HORR 2018
ST JOHNS COLLEGE DURHAM B,8+,A,291,HORR 2018
ST CUTHBERTS SOCIETY DURHAM B,8+,A,292,HORR 2018
FURNIVALL,8+,C,293,HORR 2018
HILLINGDON,8+,C,294,HORR 2018
LONDON OTTERS C,8+,C,295,HORR 2018
LONDON OTTERS B,8+,C,296,HORR 2018
KINGS COLLEGE LONDON C,8+,A,297,HORR 2018
ST PAULS SCHOOL,1x,M Sch/Jun,1,Scullers Head 2018
OXFORD BROOKES UNIVERSITY BOAT CLUB,1x,M (Fresher),2,Scullers Head 2018
SHEFFIELD CITY OF ROWING CLUB,1x,M (Club),3,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M Sch/Jun,4,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M Lwt (Club),5,Scullers Head 2018
LEANDER CLUB,1x,M (Elite),6,Scullers Head 2018
ST PAULS SCHOOL,1x,M J17,7,Scullers Head 2018
F,1x,M (Club),8,Scullers Head 2018
WESTMINSTER SCHOOL,1x,M Sch/Jun,9,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M Lwt (Club),10,Scullers Head 2018
MOLESEY BOAT CLUB,1x,M Lwt (Senior),11,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M MasA,12,Scullers Head 2018
CRABTREE,1x,M MasD,13,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M MasA,14,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M MasA,15,Scullers Head 2018
MOLESEY BOAT CLUB,1x,M MasB,16,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M J17,17,Scullers Head 2018
YORK UNIVERSITY OF BOAT CLUB,1x,M Lwt (Club),18,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M MasA,19,Scullers Head 2018
IMPERIAL COLLEGE,1x,M U23,20,Scullers Head 2018
THAMES RC,1x,M U23,21,Scullers Head 2018
SHIPLAKE COLLEGE,1x,M Sch/Jun,22,Scullers Head 2018
FULHAM REACH RC,1x,M (Elite),23,Scullers Head 2018
MOLESEY BOAT CLUB,1x,M (Elite),24,Scullers Head 2018
WESTMINSTER SCHOOL,1x,M Sch/Jun,25,Scullers Head 2018
ARMY ROWING CLUB,1x,M (Elite),26,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M (Elite),27,Scullers Head 2018
SHIPLAKE COLLEGE,1x,M Sch/Jun,28,Scullers Head 2018
SHIPLAKE COLLEGE,1x,M J17,29,Scullers Head 2018
SHEFFIELD CITY OF ROWING CLUB,1x,M (Club),30,Scullers Head 2018
IMPERIAL COLLEGE,1x,M U23,31,Scullers Head 2018
IMPERIAL COLLEGE,1x,M (Senior),32,Scullers Head 2018
ST PAULS SCHOOL,1x,M J17,33,Scullers Head 2018
IMPERIAL COLLEGE,1x,M Lwt (Elite),34,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M MasA,35,Scullers Head 2018
UPPER THAMES ROWING CLUB,1x,M (Elite),36,Scullers Head 2018
WESTMINSTER SCHOOL,1x,M J17,37,Scullers Head 2018
AURIOL KENSINGTON,1x,M (Elite),38,Scullers Head 2018
MOLESEY BOAT CLUB,1x,M MasC,39,Scullers Head 2018
VESTA ROWING CLUB,1x,M Mas (Fresher A-C),40,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M MasA,41,Scullers Head 2018
UPPER THAMES ROWING CLUB,1x,M MasA,42,Scullers Head 2018
VESTA ROWING CLUB,1x,M (Senior),43,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M Sch/Jun,44,Scullers Head 2018
THAMES RC,1x,M MasA,45,Scullers Head 2018
THAMES RC,1x,M Lwt (Elite),46,Scullers Head 2018
MOLESEY BOAT CLUB,1x,M U23,47,Scullers Head 2018
GREENBANK FALMOUTH ROWING CLUB,1x,M U23,48,Scullers Head 2018
THAMES RC,1x,M Lwt (Senior),49,Scullers Head 2018
HOLLINGWORTH LAKE ROWING CLUB,1x,M Sch/Jun,50,Scullers Head 2018
ST PAULS SCHOOL,1x,M J16,51,Scullers Head 2018
FULHAM REACH RC,1x,M (Club),52,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M Sch/Jun,53,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M (Senior),54,Scullers Head 2018
WESTMINSTER SCHOOL,1x,M J17,55,Scullers Head 2018
CARDIFF UNIVERSITY BOAT CLUB,1x,M U23,56,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M MasA,57,Scullers Head 2018
NORWICH ROWING CLUB,1x,M MasE,58,Scullers Head 2018
CURLEW ROWING CLUB,1x,M (Fresher),59,Scullers Head 2018
CANTABRIGIAN ROWING CLUB,1x,M (Senior),60,Scullers Head 2018
BROXBOURNE ROWING CLUB,1x,M (Club),61,Scullers Head 2018
GLOBE ROWING CLUB,1x,M J16,62,Scullers Head 2018
BRISTOL CITY OF ROWING CLUB,1x,M MasA,63,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M (Fresher),64,Scullers Head 2018
ST PAULS SCHOOL,1x,M J17,65,Scullers Head 2018
EXETER ROWING CLUB LTD,1x,M (Senior),66,Scullers Head 2018
MOLESEY BOAT CLUB,1x,M (Elite),67,Scullers Head 2018
TWICKENHAM RC,1x,M MasB,68,Scullers Head 2018
WESTMINSTER SCHOOL,1x,M J17,69,Scullers Head 2018
ARDINGLY ROWING CLUB,1x,M MasC,70,Scullers Head 2018
SONS OF THE THAMES,1x,M MasA,71,Scullers Head 2018
MOLESEY BOAT CLUB,1x,M Lwt (Senior),72,Scullers Head 2018
ESSEX UNIVERSITY OF ROWING CLUB,1x,M MasB,73,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M (Senior),74,Scullers Head 2018
LEICESTER ROWING CLUB,1x,M MasB,75,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M Lwt (Club),76,Scullers Head 2018
UPTON ROWING CLUB,1x,M MasE,77,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M J16,78,Scullers Head 2018
MOLESEY BOAT CLUB,1x,M MasB,79,Scullers Head 2018
SHIPLAKE COLLEGE,1x,M J16,80,Scullers Head 2018
FURNIVALL SC,1x,M (Club),81,Scullers Head 2018
ST PAULS SCHOOL,1x,M Sch/Jun,82,Scullers Head 2018
IMPERIAL COLLEGE,1x,M (Elite),83,Scullers Head 2018
LATYMER UPPER SCHOOL,1x,M J16,84,Scullers Head 2018
PUTNEY TOWN RC,1x,M MasC,85,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M Lwt (Club),86,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,TimeOnly,87,Scullers Head 2018
GLOUCESTER ROWING CLUB,1x,M MasA,88,Scullers Head 2018
PUTNEY TOWN RC,1x,M (Fresher),89,Scullers Head 2018
CANTABRIGIAN ROWING CLUB,1x,M (Club),90,Scullers Head 2018
RADNOR HOUSE SCHOOL ROWING CLUB,1x,M J17,91,Scullers Head 2018
MOLESEY BOAT CLUB,1x,M MasA,92,Scullers Head 2018
SOUTHAMPTON UNIVERSITY BOAT CLUB,1x,M (Fresher),93,Scullers Head 2018
VESTA ROWING CLUB,1x,M MasC,95,Scullers Head 2018
AURIOL KENSINGTON,1x,M MasA,96,Scullers Head 2018
ROB ROY BOAT CLUB,1x,M MasC,97,Scullers Head 2018
PUTNEY TOWN RC,1x,M (Senior),98,Scullers Head 2018
GRIFFEN THE BOAT CLUB,1x,M (Club),99,Scullers Head 2018
IMPERIAL COLLEGE,1x,M Lwt (Club),100,Scullers Head 2018
LONDON RC,1x,M (Senior),101,Scullers Head 2018
MOLESEY BOAT CLUB,1x,M Mas (Fresher A-C),102,Scullers Head 2018
BURWAY ROWING CLUB,1x,M (Senior),103,Scullers Head 2018
SPORTING CLUBE DE PORTUGAL (PT),1x,M Lwt (Elite),104,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M MasA,105,Scullers Head 2018
NOTTINGHAM ROWING CLUB,1x,M U23,106,Scullers Head 2018
BROXBOURNE ROWING CLUB,1x,M MasB,107,Scullers Head 2018
EXETER ROWING CLUB LTD,1x,M MasB,108,Scullers Head 2018
IMPERIAL COLLEGE,1x,M U23,109,Scullers Head 2018
IMPERIAL COLLEGE,1x,M Lwt (Club),110,Scullers Head 2018
NOTTINGHAM ROWING CLUB,1x,M Lwt (Senior),111,Scullers Head 2018
TIDEWAY SCULLERS SCHOOL,1x,M U23,112,Scullers Head 2018
THAMES RC,1x,M MasA,113,Scullers Head 2018
BEDFORD ROWING CLUB,1x,M (Elite),114,Scullers Head 2018
QUINTIN BC,1x,M (Elite),115,Scullers Head 2018
BROXBOURNE ROWING CLUB,1x,M MasD,116,Scullers Head 2018
BEWL BRIDGE ROWING CLUB,1x,M MasD,117,Scullers Head 2018
ST GEORGES COLLEGE BOAT CLUB,1x,M J16,118,Scullers Head 2018
CHELTENHAM COLLEGE BOAT CLUB,1x,M Sch/Jun,119,Scullers Head 2018
PUTNEY TOWN RC,1x,M (Club),120,Scullers Head 2018
MEDWAY TOWNS ROWING CLUB,1x,M (Club),121,Scullers Head 2018
YORK CITY ROWING CLUB,1x,M (Senior),122,Scullers Head 2018
BRISTOL CITY OF ROWING CLUB,1x,M MasA,123,Scullers Head 2018
HENLEY ROWING CLUB,1x,M Sch/Jun,124,Scullers Head 2018
ST PAULS SCHOOL,1x,M J17,125,Scullers Head 2018
NOTTINGHAM ROWING CLUB,1x,M U23,126,Scullers Head 2018
MAIDSTONE INVICTA ROWING CLUB,1x,M MasC,127,Scullers Head 2018
BROXBOURNE ROWING CLUB,1x,M (Elite),128,Scullers Head 2018
GLOBE ROWING CLUB,1x,M Sch/Jun,129,Scullers Head 2018
ABINGDON ROWING CLUB,1x,M MasA,130,Scullers Head 2018
FULHAM REACH RC,1x,M J16,131,Scullers Head 2018
KINGS SCHOOL CANTERBURY,1x,M Sch/Jun,132,Scullers Head 2018
ST PAULS SCHOOL,1x,M J16,133,Scullers Head 2018
KINGS COLLEGE SCHOOL,1x,M (Senior),134,Scullers Head 2018
EXETER ROWING CLUB LTD,1x,M MasD,135,Scullers Head 2018
DUBAI ROWING CLUB (AE),1x,M Mas (Fresher A-C),136,Scullers Head 2018
WESTMINSTER SCHOOL,1x,M J17,137,Scullers Head 2018
SPORTING CLUBE DE PORTUGAL (PT),1x,M Lwt (Elite),138,Scullers Head 2018
BIRMINGHAM ROWING CLUB,1x,M (Elite),139,Scullers Head 2018
LEA ROWING CLUB,1x,M Lwt (Club),140,Scullers Head 2018
WALTON ROWING CLUB,1x,M (Club),141,Scullers Head 2018
MAIDSTONE INVICTA ROWING CLUB,1x,M Sch/Jun,142,Scullers Head 2018
WESTMINSTER SCHOOL,1x,M J17,145,Scullers Head 2018
GLOBE ROWING CLUB,1x,M J16,147,Scullers Head 2018
TEAM KEANE SCULLING SCHOOL,1x,M (Fresher),148,Scullers Head 2018
THAMES TRADESMEN,1x,M MasC,149,Scullers Head 2018
